epoch	scaling	#test	difAvg	0difAvg	accur	TP	TN	FP	FN	P	N	correct
note: difAvg error (squared) and 0-difAvg error (squared) are multiplied by 100
0	0.125	258	7077.2758	0.3702	0.0001	99.6124	0.0	0.3876	0.0	99.6124	0.3876	99.6124
0	0.15625	273	3596.7639	0.3527	0.0001	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	0.1875	272	2499.2833	0.3879	0.0002	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	0.21875	306	2025.0927	0.2478	0.0001	99.3464	0.0	0.6536	0.0	99.3464	0.6536	99.3464
0	0.25	268	1706.4133	0.453	0.0003	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	0.3125	285	998.5726	0.4376	0.0004	99.2982	0.0	0.7018	0.0	99.2982	0.7018	99.2982
0	0.375	269	706.4588	0.363	0.0005	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	0.4375	267	491.2983	0.3381	0.0007	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	0.5	267	392.0008	0.3713	0.0009	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	0.625	269	225.0043	0.2942	0.0013	99.6283	0.0	0.3717	0.0	99.6283	0.3717	99.6283
0	0.75	249	178.6595	0.3914	0.0022	99.5984	0.0	0.4016	0.0	99.5984	0.4016	99.5984
0	0.875	270	121.2732	0.376	0.0031	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	1	266	98.4362	0.2722	0.0028	99.6241	0.0	0.3759	0.0	99.6241	0.3759	99.6241
0	1.25	247	58.2498	0.2668	0.0046	99.5951	0.0	0.4049	0.0	99.5951	0.4049	99.5951
0	1.5	246	41.0859	0.294	0.0072	99.5935	0.0	0.4065	0.0	99.5935	0.4065	99.5935
0	1.75	265	32.0651	0.3866	0.0121	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	2	241	22.4599	0.4132	0.0184	99.5851	0.0	0.4149	0.0	99.5851	0.4149	99.5851
0	2.5	281	15.3897	0.4176	0.0271	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	3	270	10.6543	0.3485	0.0327	100.0	0.0	0.0	0.0	100.0	0.0	100.0
