
< random search >
LR: 0.0~0.25, DROPOUT: 0.0~0.75
lr drouput avgSquareError
0.06002312 0.07866282 0.00144562
0.00565038 0.22211058 0.0043849
0.20443131 0.69305905 0.0183474
0.1522463 0.67276649 0.01910685
0.14480449 0.30639303 0.0071464
0.1187448 0.06122008 0.00384142
0.14659313 0.08973946 0.01867506
0.09090534 0.18450186 0.00609849
0.18525858 0.44322646 0.01924106
0.24165527 0.39948123 0.01673311
0.05277758 0.74936641 0.01651137
0.11334388 0.17631652 0.00838749
0.02856202 0.17919376 0.0023763
0.19097429 0.64587792 0.01837091
0.2408919 0.32920843 0.01722798
0.04730538 0.48652225 0.00763303
0.12271615 0.64392224 0.01732543
0.04561495 0.64539963 0.01724906
0.0476645 0.09872825 0.00220845
0.23789908 0.62679108 0.01693832
0.0657305 0.46819358 0.01310524
0.02800727 0.09496485 0.00238159
0.22135935 0.52813526 0.01716323
0.21254755 0.56531819 0.01820601
0.22523325 0.49522922 0.01674087
0.16153679 0.20115683 0.01917847
0.04334461 0.46778028 0.01646549
0.22779353 0.04012385 0.0015348
0.17867069 0.66853586 0.01852043
0.03709642 0.22545906 0.00456061
0.16926269 0.48964416 0.01825221
0.22093665 0.01661467 0.01735652
0.17228301 0.45292042 0.01699504
0.22771559 0.25058326 0.02067125
0.03801537 0.11427522 0.00326512
0.16365068 0.29074215 0.01741107
0.09777358 0.17085737 0.0032646
0.14979673 0.05101895 0.00777357
0.15159577 0.0074688 0.01679682
0.00924373 0.58011177 0.00767309
0.0780499 0.53219491 0.01866048
0.18515557 0.39935295 0.01972055
0.17171675 0.10038589 0.00933686
0.23741714 0.50214993 0.01858509
0.11370486 0.41965157 0.01402406
0.13863163 0.20165309 0.01957798
0.03708288 0.51051243 0.0129823
0.24532614 0.53069225 0.01729277
0.17848001 0.50773742 0.01677257
0.22547715 0.5386842 0.01781487
0.23410357 0.25453738 0.01813197
0.00267141 0.32991587 0.00587101
0.07537082 0.6309236 0.01665466
0.00454253 0.1423413 0.00208788
0.12567142 0.11275932 0.00338719
0.16370789 0.71048185 0.01790225
0.11979452 0.4920978 0.01484973
0.20571556 0.16910722 0.02036297
0.16052262 0.64057139 0.01632966
0.02896726 0.37643664 0.00559163
0.03389482 0.53337132 0.01325153
0.23056397 0.59947843 0.01776382
0.24292361 0.31326249 0.01732519
0.12975057 0.46922147 0.01838891
0.15605585 0.57023664 0.01684387
0.02143179 0.27026611 0.01084988
0.16003741 0.12600486 0.00846387
0.17810482 5.16e-05 0.01864209
0.06181877 0.56942011 0.01944832
0.12063214 0.74647705 0.01673862
0.17644928 0.25962405 0.01711013
0.14230202 0.20902012 0.01005633
0.10685876 0.42657285 0.01046124
0.06882191 0.19095293 0.00525788
0.19684442 0.69950545 0.01812693
0.12044984 0.6523332 0.01832854
0.19759991 0.61105269 0.01671346
0.08639685 0.63922708 0.01801133
0.0003466 0.16760671 0.00535267
0.06228755 0.05156227 0.0009731
0.07349775 0.64746837 0.01858767
0.11602247 0.28062001 0.01829241
0.14284595 0.51258834 0.01766588
0.03317032 0.17001703 0.001355
0.00352051 0.56955018 0.0077686
0.10114508 0.19841597 0.01833148
0.05242451 0.3574328 0.00825825
0.18408298 0.74099449 0.01700414
0.21742161 0.68257991 0.01855609
0.15697185 0.18102838 0.00769803
