
< grid search >
LR: 0.0~0.25, DROPOUT: 0.0~0.75
lr drouput avgSquareError
0.0 0.0 0.07089104
0.0 0.075 0.05697673
0.0 0.15 0.06314951
0.0 0.225 0.05644859
0.0 0.3 0.05674481
0.0 0.375 0.07565897
0.0 0.45 0.05113397
0.0 0.525 0.08844802
0.0 0.6 0.10847683
0.0 0.675 0.07544264
0.0 0.75 0.09638357
0.025 0.0 0.00012011
0.025 0.075 0.00118139
0.025 0.15 0.00172694
0.025 0.225 0.00672978
0.025 0.3 0.00284083
0.025 0.375 0.03004882
0.025 0.45 0.00812754
0.025 0.525 0.00877661
0.025 0.6 0.01310152
0.025 0.675 0.01252014
0.025 0.75 0.01297338
0.05 0.0 0.0001498
0.05 0.075 0.00645267
0.05 0.15 0.00203902
0.05 0.225 0.00560412
0.05 0.3 0.00420669
0.05 0.375 0.01160207
0.05 0.45 0.01508121
0.05 0.525 0.01265541
0.05 0.6 0.03058571
0.05 0.675 0.01706369
0.05 0.75 0.01792888
0.075 0.0 0.00115663
0.075 0.075 0.00198556
0.075 0.15 0.00272745
0.075 0.225 0.00682107
0.075 0.3 0.00953257
0.075 0.375 0.00715753
0.075 0.45 0.01308996
0.075 0.525 0.01396659
0.075 0.6 0.01834479
0.075 0.675 0.01807176
0.075 0.75 0.01657452
0.1 0.0 0.00510185
0.1 0.075 0.00721202
0.1 0.15 0.00721262
0.1 0.225 0.01252114
0.1 0.3 0.00968948
0.1 0.375 0.01635853
0.1 0.45 0.01962497
0.1 0.525 0.0147787
0.1 0.6 0.01846887
0.1 0.675 0.01925321
0.1 0.75 0.01833324
0.125 0.0 0.00112423
0.125 0.075 0.00301262
0.125 0.15 0.01866066
0.125 0.225 0.01148099
0.125 0.3 0.00909892
0.125 0.375 0.01795393
0.125 0.45 0.01751973
0.125 0.525 0.01780022
0.125 0.6 0.01835076
0.125 0.675 0.01765087
0.125 0.75 0.01737507
0.15 0.0 0.00638681
0.15 0.075 0.00873065
0.15 0.15 0.01736262
0.15 0.225 0.00891205
0.15 0.3 0.01899386
0.15 0.375 0.01767419
0.15 0.45 0.01655584
0.15 0.525 0.01735915
0.15 0.6 0.01765806
0.15 0.675 0.0179358
0.15 0.75 0.01847964
0.175 0.0 0.01483686
0.175 0.075 0.0184437
0.175 0.15 0.00742037
0.175 0.225 0.01903591
0.175 0.3 0.01792084
0.175 0.375 0.01292181
0.175 0.45 0.01813479
0.175 0.525 0.0173768
0.175 0.6 0.01603679
0.175 0.675 0.01880582
0.175 0.75 0.017925
0.2 0.0 0.00538931
0.2 0.075 0.00927861
0.2 0.15 0.00785655
0.2 0.225 0.01859261
0.2 0.3 0.01686901
0.2 0.375 0.01707929
0.2 0.45 0.01681615
0.2 0.525 0.01813747
0.2 0.6 0.0196177
0.2 0.675 0.01952834
0.2 0.75 0.02001535
0.225 0.0 0.00776037
0.225 0.075 0.01715937
0.225 0.15 0.01759904
0.225 0.225 0.01716578
0.225 0.3 0.01734552
0.225 0.375 0.01771223
0.225 0.45 0.01886612
0.225 0.525 0.01656574
0.225 0.6 0.01800146
0.225 0.675 0.01914512
0.225 0.75 0.01932149
0.25 0.0 0.02121829
0.25 0.075 0.01572133
0.25 0.15 0.01747376
0.25 0.225 0.01749674
0.25 0.3 0.02215912
0.25 0.375 0.01679092
0.25 0.45 0.01919892
0.25 0.525 0.01851896
0.25 0.6 0.01914482
0.25 0.675 0.01950534
0.25 0.75 0.02326611

< set target space >
lrMin=0.0 lrMax=0.25 lrGap=0.25
dropoutMin=0.0 dropoutMax=0.75 dropoutGap=0.75
minErrorLr=0.025 minErrorDropout=0.0
new lrMin=-0.025 new lrMax=0.07500000000000001
new dropoutMin=-0.15000000000000002 new dropoutMax=0.15000000000000002
