[13] pred = [-0.17377], real = [-0.027]
[23] pred = [-1.165999], real = [-1.712]
[27] pred = [-0.44282], real = [-0.235]
[83] pred = [-1.201158], real = [-1.692]
[90] pred = [3.263029], real = [3.025]
[169] pred = [3.012535], real = [2.903]
[179] pred = [3.33945], real = [3.14]
[204] pred = [1.391787], real = [1.501]
[223] pred = [0.390683], real = [0.569]
[231] pred = [0.057679], real = [0.183]
[234] pred = [0.662781], real = [0.796]
[244] pred = [0.845345], real = [0.896]
[272] pred = [0.568204], real = [0.465]
[275] pred = [0.996102], real = [1.221]
[345] pred = [0.316436], real = [0.234]
[366] pred = [3.565706], real = [3.397]
[367] pred = [3.772881], real = [4.122]
[376] pred = [0.69535], real = [0.946]
[380] pred = [-0.321742], real = [-0.2]
[395] pred = [0.394932], real = [0.559]
[398] pred = [2.551623], real = [2.553]
[409] pred = [1.946857], real = [1.953]
[418] pred = [1.296203], real = [1.395]
[420] pred = [-0.284643], real = [-0.438]
[428] pred = [2.352951], real = [2.111]
[450] pred = [0.082519], real = [0.051]
[479] pred = [1.453308], real = [1.517]
[486] pred = [2.931542], real = [3.092]
[491] pred = [-0.733025], real = [-0.904]
[507] pred = [0.066818], real = [0.493]
[518] pred = [0.688912], real = [0.724]
[544] pred = [2.118021], real = [2.133]
[569] pred = [0.572054], real = [0.451]
[576] pred = [1.063022], real = [1.273]
[582] pred = [1.353665], real = [1.203]
[584] pred = [0.327924], real = [0.356]
[611] pred = [1.049982], real = [0.966]
[612] pred = [1.713388], real = [1.814]
[613] pred = [0.474586], real = [0.488]
[638] pred = [2.089573], real = [2.129]
[714] pred = [1.927504], real = [2.036]
[745] pred = [2.997406], real = [2.996]
[764] pred = [1.587324], real = [1.544]
[777] pred = [1.162837], real = [1.169]
[805] pred = [2.065846], real = [2.072]
[811] pred = [2.483496], real = [2.47]
[830] pred = [0.88925], real = [0.966]
[855] pred = [1.697472], real = [1.693]
[869] pred = [2.146637], real = [2.111]
