epoch	train	test	error	TP	TPrate	TN	TNrate	FP	FPrate	FN	FNrate	real P	rP rate	real N	rN rate	correct	co rate
5	3779	978	0.0162	366	37.42%	591	60.43%	6	0.61%	15	1.53%	381	38.96%	597	61.04%	957	97.85%
5	3783	974	0.0249	408	41.89%	536	55.03%	7	0.72%	23	2.36%	431	44.25%	543	55.75%	944	96.92%
5	3827	930	0.0183	377	40.54%	535	57.53%	8	0.86%	10	1.08%	387	41.61%	543	58.39%	912	98.06%
15	3801	956	0.0154	361	37.76%	576	60.25%	16	1.67%	3	0.31%	364	38.08%	592	61.92%	937	98.01%
15	3836	921	0.0183	372	40.39%	527	57.22%	22	2.39%	0	0.0%	372	40.39%	549	59.61%	899	97.61%
15	3844	913	0.0096	368	40.31%	535	58.6%	6	0.66%	4	0.44%	372	40.74%	541	59.26%	903	98.9%
30	3808	949	0.0121	375	39.52%	560	59.01%	12	1.26%	2	0.21%	377	39.73%	572	60.27%	935	98.52%
30	3833	924	0.0057	355	38.42%	563	60.93%	3	0.32%	3	0.32%	358	38.74%	566	61.26%	918	99.35%
30	3745	1012	0.0145	385	38.04%	605	59.78%	19	1.88%	3	0.3%	388	38.34%	624	61.66%	990	97.83%
50	3768	989	0.0139	367	37.11%	605	61.17%	15	1.52%	2	0.2%	369	37.31%	620	62.69%	972	98.28%
50	3767	990	0.0117	375	37.88%	600	60.61%	3	0.3%	12	1.21%	387	39.09%	603	60.91%	975	98.48%
50	3788	969	0.0063	393	40.56%	568	58.62%	8	0.83%	0	0.0%	393	40.56%	576	59.44%	961	99.17%
100	3762	995	0.0066	435	43.72%	552	55.48%	8	0.8%	0	0.0%	435	43.72%	560	56.28%	987	99.2%
100	3834	923	0.0103	336	36.4%	575	62.3%	8	0.87%	4	0.43%	340	36.84%	583	63.16%	911	98.7%
100	3767	990	0.0151	350	35.35%	619	62.53%	11	1.11%	10	1.01%	360	36.36%	630	63.64%	969	97.88%
200	3819	938	0.003	386	41.15%	548	58.42%	4	0.43%	0	0.0%	386	41.15%	552	58.85%	934	99.57%
200	3830	927	0.0063	342	36.89%	578	62.35%	7	0.76%	0	0.0%	342	36.89%	585	63.11%	920	99.24%
200	3756	1001	0.0045	370	36.96%	626	62.54%	4	0.4%	1	0.1%	371	37.06%	630	62.94%	996	99.5%
300	3787	970	0.0038	379	39.07%	586	60.41%	2	0.21%	3	0.31%	382	39.38%	588	60.62%	965	99.48%
300	3808	949	0.0087	361	38.04%	578	60.91%	9	0.95%	1	0.11%	362	38.15%	587	61.85%	939	98.95%
300	3842	915	0.0094	340	37.16%	564	61.64%	7	0.77%	4	0.44%	344	37.6%	571	62.4%	904	98.8%
500	3754	1003	0.0058	409	40.78%	589	58.72%	5	0.5%	0	0.0%	409	40.78%	594	59.22%	998	99.5%
500	3763	994	0.0084	397	39.94%	588	59.15%	8	0.8%	1	0.1%	398	40.04%	596	59.96%	985	99.09%
500	3809	948	0.0111	363	38.29%	570	60.13%	10	1.05%	5	0.53%	368	38.82%	580	61.18%	933	98.42%
1000	3805	952	0.0112	377	39.6%	562	59.03%	6	0.63%	7	0.74%	384	40.34%	568	59.66%	939	98.63%
1000	3768	989	0.0098	361	36.5%	617	62.39%	8	0.81%	3	0.3%	364	36.8%	625	63.2%	978	98.89%
1000	3848	909	0.0037	348	38.28%	557	61.28%	3	0.33%	1	0.11%	349	38.39%	560	61.61%	905	99.56%
