epoch	train	test	error	TP	TPrate	TN	TNrate	FP	FPrate	FN	FNrate	real P	rP rate	real N	rN rate	correct	co rate
5	3917	925	0.027	385	41.62%	510	55.14%	28	3.03%	2	0.22%	387	41.84%	538	58.16%	895	96.76%
5	3876	966	0.0235	397	41.1%	551	57.04%	11	1.14%	7	0.72%	404	41.82%	562	58.18%	948	98.14%
5	3875	967	0.0321	407	42.09%	520	53.77%	38	3.93%	2	0.21%	409	42.3%	558	57.7%	927	95.86%
15	3834	1008	0.0123	419	41.57%	576	57.14%	13	1.29%	0	0.0%	419	41.57%	589	58.43%	995	98.71%
15	3894	948	0.0104	349	36.81%	590	62.24%	9	0.95%	0	0.0%	349	36.81%	599	63.19%	939	99.05%
15	3900	942	0.0116	373	39.6%	554	58.81%	15	1.59%	0	0.0%	373	39.6%	569	60.4%	927	98.41%
30	3864	978	0.0052	353	36.09%	619	63.29%	6	0.61%	0	0.0%	353	36.09%	625	63.91%	972	99.39%
30	3871	971	0.012	405	41.71%	552	56.85%	14	1.44%	0	0.0%	405	41.71%	566	58.29%	957	98.56%
30	3915	927	0.0069	363	39.16%	555	59.87%	9	0.97%	0	0.0%	363	39.16%	564	60.84%	918	99.03%
50	3867	975	0.0109	403	41.33%	561	57.54%	11	1.13%	0	0.0%	403	41.33%	572	58.67%	964	98.87%
50	3911	931	0.0043	363	38.99%	564	60.58%	4	0.43%	0	0.0%	363	38.99%	568	61.01%	927	99.57%
50	3913	929	0.0081	393	42.3%	529	56.94%	7	0.75%	0	0.0%	393	42.3%	536	57.7%	922	99.25%
100	3823	1019	0.0092	377	37.0%	631	61.92%	11	1.08%	0	0.0%	377	37.0%	642	63.0%	1008	98.92%
100	3872	970	0.0083	390	40.21%	570	58.76%	9	0.93%	1	0.1%	391	40.31%	579	59.69%	960	98.97%
100	3877	965	0.0185	350	36.27%	593	61.45%	5	0.52%	17	1.76%	367	38.03%	598	61.97%	943	97.72%
200	3860	982	0.0067	395	40.22%	581	59.16%	6	0.61%	0	0.0%	395	40.22%	587	59.78%	976	99.39%
200	3867	975	0.0081	389	39.9%	577	59.18%	9	0.92%	0	0.0%	389	39.9%	586	60.1%	966	99.08%
200	3877	965	0.0108	370	38.34%	588	60.93%	5	0.52%	2	0.21%	372	38.55%	593	61.45%	958	99.27%
300	3889	953	0.0089	366	38.41%	577	60.55%	10	1.05%	0	0.0%	366	38.41%	587	61.59%	943	98.95%
300	3894	948	0.0041	391	41.24%	552	58.23%	5	0.53%	0	0.0%	391	41.24%	557	58.76%	943	99.47%
300	3933	909	0.0044	335	36.85%	570	62.71%	4	0.44%	0	0.0%	335	36.85%	574	63.15%	905	99.56%
500	3852	990	0.0064	387	39.09%	596	60.2%	7	0.71%	0	0.0%	387	39.09%	603	60.91%	983	99.29%
500	3856	986	0.0044	397	40.26%	583	59.13%	6	0.61%	0	0.0%	397	40.26%	589	59.74%	980	99.39%
500	3902	940	0.006	350	37.23%	583	62.02%	7	0.74%	0	0.0%	350	37.23%	590	62.77%	933	99.26%
1000	3866	976	0.005	402	41.19%	569	58.3%	4	0.41%	1	0.1%	403	41.29%	573	58.71%	971	99.49%
1000	3854	988	0.0025	415	42.0%	571	57.79%	1	0.1%	1	0.1%	416	42.11%	572	57.89%	986	99.8%
1000	3899	943	0.0026	359	38.07%	581	61.61%	3	0.32%	0	0.0%	359	38.07%	584	61.93%	940	99.68%
