
 <<< ESTIMATION RESULT >>>
No.	size	train	test	problem	epoch	dropout	percentage
0	12	900	100	1	1000	0.05	96.3148
1	12	900	100	1	1000	0.05	98.896
2	12	900	100	1	1000	0.05	94.8123
3	12	900	100	1	1000	0.05	92.7333
4	12	900	100	1	1000	0.05	99.2086
5	12	900	100	1	1000	0.05	94.027
6	12	900	100	1	1000	0.05	96.7413
7	12	900	100	1	1000	0.05	96.13
8	12	900	100	1	1000	0.05	98.4144
9	12	900	100	1	1000	0.05	97.2337
10	12	900	100	1	1000	0.05	93.8233
11	12	900	100	1	1000	0.05	96.5636
12	12	900	100	1	1000	0.05	97.6997
13	12	900	100	1	1000	0.05	95.3557
14	12	900	100	1	1000	0.05	92.7133
15	12	900	100	1	1000	0.05	96.7576
16	12	900	100	1	1000	0.05	94.5237
17	12	900	100	1	1000	0.05	98.944
18	12	900	100	1	1000	0.05	96.629
19	12	900	100	1	1000	0.05	96.6552
20	12	900	100	1	1000	0.05	97.247
21	12	900	100	1	1000	0.05	92.1878
22	12	900	100	1	1000	0.05	94.5304
23	12	900	100	1	1000	0.05	93.8561
24	12	900	100	1	1000	0.05	97.8762
25	12	900	100	1	1000	0.05	97.8308
26	12	900	100	1	1000	0.05	96.3414
27	12	900	100	1	1000	0.05	95.4652
28	12	900	100	1	1000	0.05	95.705
29	12	900	100	1	1000	0.05	95.2132
30	12	900	100	1	1000	0.05	94.8873
31	12	900	100	1	1000	0.05	97.3508
32	12	900	100	1	1000	0.05	97.7069
33	12	900	100	1	1000	0.05	94.336
34	12	900	100	1	1000	0.05	92.8217
35	12	900	100	1	1000	0.05	92.7686
36	12	900	100	1	1000	0.05	94.532
37	12	900	100	1	1000	0.05	94.7288
38	12	900	100	1	1000	0.05	95.4392
39	12	900	100	1	1000	0.05	94.3008
40	12	900	100	1	1000	0.05	94.9282
41	12	900	100	1	1000	0.05	96.196
42	12	900	100	1	1000	0.05	97.2953
43	12	900	100	1	1000	0.05	95.4818
44	12	900	100	1	1000	0.05	94.0851
45	12	900	100	1	1000	0.05	95.5849
46	12	900	100	1	1000	0.05	98.8461
47	12	900	100	1	1000	0.05	93.8143
48	12	900	100	1	1000	0.05	98.9821
49	12	900	100	1	1000	0.05	96.4262
