
 <<< ESTIMATION RESULT >>>
No.	size	train	test	problem	epoch	dropout	percentage
0	12	900	100	0	5	0.0	74.6639
1	12	900	100	0	5	0.05	69.9871
2	12	900	100	0	5	0.1	63.9109
3	12	900	100	0	5	0.15	73.144
4	12	900	100	0	5	0.2	75.6125
5	12	900	100	0	5	0.25	72.0943
6	12	900	100	0	5	0.3	68.2229
7	12	900	100	0	5	0.35	61.6104
8	12	900	100	0	5	0.4	62.1334
9	12	900	100	0	5	0.45	53.3783
10	12	900	100	0	5	0.5	23.3666
11	12	900	100	0	15	0.0	86.9532
12	12	900	100	0	15	0.05	86.2378
13	12	900	100	0	15	0.1	85.7395
14	12	900	100	0	15	0.15	89.0008
15	12	900	100	0	15	0.2	87.0182
16	12	900	100	0	15	0.25	85.0089
17	12	900	100	0	15	0.3	86.5139
18	12	900	100	0	15	0.35	83.8452
19	12	900	100	0	15	0.4	85.4292
20	12	900	100	0	15	0.45	81.683
21	12	900	100	0	15	0.5	82.5013
22	12	900	100	0	30	0.0	90.1862
23	12	900	100	0	30	0.05	89.6717
24	12	900	100	0	30	0.1	90.004
25	12	900	100	0	30	0.15	90.4753
26	12	900	100	0	30	0.2	90.194
27	12	900	100	0	30	0.25	91.1294
28	12	900	100	0	30	0.3	91.3238
29	12	900	100	0	30	0.35	89.5441
30	12	900	100	0	30	0.4	88.9525
31	12	900	100	0	30	0.45	86.69
32	12	900	100	0	30	0.5	88.2189
33	12	900	100	0	50	0.0	89.2824
34	12	900	100	0	50	0.05	93.0689
35	12	900	100	0	50	0.1	92.2616
36	12	900	100	0	50	0.15	92.9913
37	12	900	100	0	50	0.2	93.6161
38	12	900	100	0	50	0.25	93.2142
39	12	900	100	0	50	0.3	91.6502
40	12	900	100	0	50	0.35	90.6112
41	12	900	100	0	50	0.4	90.9837
42	12	900	100	0	50	0.45	90.6552
43	12	900	100	0	50	0.5	90.9114
44	12	900	100	0	100	0.0	89.9654
45	12	900	100	0	100	0.05	92.8849
46	12	900	100	0	100	0.1	93.0797
47	12	900	100	0	100	0.15	93.7457
48	12	900	100	0	100	0.2	93.6593
49	12	900	100	0	100	0.25	93.7604
50	12	900	100	0	100	0.3	91.9735
51	12	900	100	0	100	0.35	91.7074
52	12	900	100	0	100	0.4	90.7441
53	12	900	100	0	100	0.45	91.0345
54	12	900	100	0	100	0.5	91.3039
55	12	900	100	0	200	0.0	92.5442
56	12	900	100	0	200	0.05	93.2984
57	12	900	100	0	200	0.1	93.9298
58	12	900	100	0	200	0.15	93.672
59	12	900	100	0	200	0.2	93.6548
60	12	900	100	0	200	0.25	92.7734
61	12	900	100	0	200	0.3	93.5329
62	12	900	100	0	200	0.35	92.5788
63	12	900	100	0	200	0.4	92.4559
64	12	900	100	0	200	0.45	92.415
65	12	900	100	0	200	0.5	91.6272
66	12	900	100	0	300	0.0	92.7769
67	12	900	100	0	300	0.05	94.0462
68	12	900	100	0	300	0.1	93.5122
69	12	900	100	0	300	0.15	93.5486
70	12	900	100	0	300	0.2	90.9079
71	12	900	100	0	300	0.25	93.4693
72	12	900	100	0	300	0.3	93.3909
73	12	900	100	0	300	0.35	91.4
74	12	900	100	0	300	0.4	91.3435
75	12	900	100	0	300	0.45	91.3016
76	12	900	100	0	300	0.5	91.7216
77	12	900	100	0	500	0.0	93.1847
78	12	900	100	0	500	0.05	93.1357
79	12	900	100	0	500	0.1	92.9881
80	12	900	100	0	500	0.15	92.6317
81	12	900	100	0	500	0.2	93.2425
82	12	900	100	0	500	0.25	92.779
83	12	900	100	0	500	0.3	93.0836
84	12	900	100	0	500	0.35	91.1137
85	12	900	100	0	500	0.4	91.9816
86	12	900	100	0	500	0.45	91.1638
87	12	900	100	0	500	0.5	90.6629
88	12	900	100	0	1000	0.0	93.6032
89	12	900	100	0	1000	0.05	93.5217
90	12	900	100	0	1000	0.1	94.4985
91	12	900	100	0	1000	0.15	93.0964
92	12	900	100	0	1000	0.2	94.5391
93	12	900	100	0	1000	0.25	93.0026
94	12	900	100	0	1000	0.3	92.6398
95	12	900	100	0	1000	0.35	91.2836
96	12	900	100	0	1000	0.4	91.8017
97	12	900	100	0	1000	0.45	91.1362
98	12	900	100	0	1000	0.5	91.2424
99	12	900	100	0	2000	0.0	89.9698
100	12	900	100	0	2000	0.05	94.3716
101	12	900	100	0	2000	0.1	94.6545
102	12	900	100	0	2000	0.15	93.8152
103	12	900	100	0	2000	0.2	92.9005
104	12	900	100	0	2000	0.25	92.1395
105	12	900	100	0	2000	0.3	92.597
106	12	900	100	0	2000	0.35	93.28
107	12	900	100	0	2000	0.4	92.514
108	12	900	100	0	2000	0.45	91.4876
109	12	900	100	0	2000	0.5	91.4901
110	12	900	100	0	3000	0.0	91.1808
111	12	900	100	0	3000	0.05	94.7021
112	12	900	100	0	3000	0.1	93.0374
113	12	900	100	0	3000	0.15	92.8273
114	12	900	100	0	3000	0.2	94.465
115	12	900	100	0	3000	0.25	92.9761
116	12	900	100	0	3000	0.3	92.9482
117	12	900	100	0	3000	0.35	92.4867
118	12	900	100	0	3000	0.4	91.9018
119	12	900	100	0	3000	0.45	92.7135
120	12	900	100	0	3000	0.5	89.4737
121	12	900	100	0	4000	0.0	91.8049
122	12	900	100	0	4000	0.05	92.844
123	12	900	100	0	4000	0.1	93.7899
124	12	900	100	0	4000	0.15	92.3656
