
 <<< ESTIMATION RESULT >>>
No.	size	train	test	problem	epoch	dropout	percentage
0	12	900	100	0	1000	0.05	93.5568
1	12	900	100	0	1000	0.05	93.8086
2	12	900	100	0	1000	0.05	93.1673
3	12	900	100	0	1000	0.05	93.2101
4	12	900	100	0	1000	0.05	93.5648
5	12	900	100	0	1000	0.05	92.4288
6	12	900	100	0	1000	0.05	93.1248
7	12	900	100	0	1000	0.05	93.1982
8	12	900	100	0	1000	0.05	93.2054
9	12	900	100	0	1000	0.05	92.9638
10	12	900	100	0	1000	0.05	93.4645
11	12	900	100	0	1000	0.05	92.9554
12	12	900	100	0	1000	0.05	92.982
13	12	900	100	0	1000	0.05	92.8957
14	12	900	100	0	1000	0.05	94.1466
15	12	900	100	0	1000	0.05	93.1978
16	12	900	100	0	1000	0.05	93.5168
17	12	900	100	0	1000	0.05	93.6282
18	12	900	100	0	1000	0.05	92.7491
19	12	900	100	0	1000	0.05	93.5895
20	12	900	100	0	1000	0.05	93.4556
21	12	900	100	0	1000	0.05	93.8129
22	12	900	100	0	1000	0.05	93.7107
23	12	900	100	0	1000	0.05	92.7073
24	12	900	100	0	1000	0.05	93.5297
25	12	900	100	0	1000	0.05	92.3453
26	12	900	100	0	1000	0.05	93.3422
27	12	900	100	0	1000	0.05	93.2907
28	12	900	100	0	1000	0.05	93.4038
29	12	900	100	0	1000	0.05	93.3198
30	12	900	100	0	1000	0.05	93.658
31	12	900	100	0	1000	0.05	93.0209
32	12	900	100	0	1000	0.05	93.1094
33	12	900	100	0	1000	0.05	93.1611
34	12	900	100	0	1000	0.05	93.0636
35	12	900	100	0	1000	0.05	92.1959
36	12	900	100	0	1000	0.05	93.6319
37	12	900	100	0	1000	0.05	93.4174
38	12	900	100	0	1000	0.05	93.1161
39	12	900	100	0	1000	0.05	93.971
40	12	900	100	0	1000	0.05	93.1171
41	12	900	100	0	1000	0.05	92.7901
42	12	900	100	0	1000	0.05	93.6713
43	12	900	100	0	1000	0.05	93.2837
44	12	900	100	0	1000	0.05	92.8704
45	12	900	100	0	1000	0.05	93.2631
46	12	900	100	0	1000	0.05	93.3514
47	12	900	100	0	1000	0.05	93.1074
48	12	900	100	0	1000	0.05	94.0357
49	12	900	100	0	1000	0.05	93.4202
