
 <<< ESTIMATION RESULT >>>
No.	size	test	loc_yx	problem	percentage
0	12	100	0,0	0	18.6466
1	12	100	0,1	0	24.3189
2	12	100	0,2	0	23.3175
3	12	100	0,3	0	20.6871
4	12	100	0,4	0	23.8659
5	12	100	0,5	0	24.2633
6	12	100	0,6	0	24.2828
7	12	100	0,7	0	23.7986
8	12	100	0,8	0	20.4128
9	12	100	0,9	0	16.913
10	12	100	0,10	0	17.3299
11	12	100	0,11	0	13.5632
12	12	100	1,0	0	22.0424
13	12	100	1,1	0	28.3593
14	12	100	1,2	0	27.7439
15	12	100	1,3	0	29.4566
16	12	100	1,4	0	29.3087
17	12	100	1,5	0	31.8881
18	12	100	1,6	0	30.1765
19	12	100	1,7	0	32.294
20	12	100	1,8	0	29.8513
21	12	100	1,9	0	26.1577
22	12	100	1,10	0	21.8654
23	12	100	1,11	0	18.3535
24	12	100	2,0	0	20.3785
25	12	100	2,1	0	25.5082
26	12	100	2,2	0	29.6281
27	12	100	2,3	0	27.4412
28	12	100	2,4	0	28.8265
29	12	100	2,5	0	30.4292
30	12	100	2,6	0	30.9454
31	12	100	2,7	0	31.1057
32	12	100	2,8	0	32.9849
33	12	100	2,9	0	28.534
34	12	100	2,10	0	25.4252
35	12	100	2,11	0	16.4248
36	12	100	3,0	0	18.9905
37	12	100	3,1	0	26.2154
38	12	100	3,2	0	27.0164
39	12	100	3,3	0	26.9499
40	12	100	3,4	0	29.3949
41	12	100	3,5	0	30.612
42	12	100	3,6	0	28.0739
43	12	100	3,7	0	29.8411
44	12	100	3,8	0	30.8447
45	12	100	3,9	0	29.5706
46	12	100	3,10	0	23.6052
47	12	100	3,11	0	14.8278
48	12	100	4,0	0	18.0991
49	12	100	4,1	0	24.8418
50	12	100	4,2	0	26.9145
51	12	100	4,3	0	29.693
52	12	100	4,4	0	32.1326
53	12	100	4,5	0	32.8774
54	12	100	4,6	0	30.9098
55	12	100	4,7	0	27.5976
56	12	100	4,8	0	29.279
57	12	100	4,9	0	28.3038
58	12	100	4,10	0	24.099
59	12	100	4,11	0	15.2647
60	12	100	5,0	0	21.2636
61	12	100	5,1	0	24.011
62	12	100	5,2	0	27.491
63	12	100	5,3	0	28.4281
64	12	100	5,4	0	32.2002
65	12	100	5,5	0	34.598
66	12	100	5,6	0	30.3007
67	12	100	5,7	0	28.5736
68	12	100	5,8	0	27.7118
69	12	100	5,9	0	29.2885
70	12	100	5,10	0	26.3706
71	12	100	5,11	0	17.2925
72	12	100	6,0	0	18.6736
73	12	100	6,1	0	26.3627
74	12	100	6,2	0	24.2474
75	12	100	6,3	0	27.9042
76	12	100	6,4	0	31.7605
77	12	100	6,5	0	32.7192
78	12	100	6,6	0	32.3998
79	12	100	6,7	0	26.0177
80	12	100	6,8	0	26.8135
81	12	100	6,9	0	29.1597
82	12	100	6,10	0	28.7062
83	12	100	6,11	0	23.2309
84	12	100	7,0	0	21.3655
85	12	100	7,1	0	22.5798
86	12	100	7,2	0	24.8591
87	12	100	7,3	0	27.2413
88	12	100	7,4	0	31.3522
89	12	100	7,5	0	34.2897
90	12	100	7,6	0	31.4917
91	12	100	7,7	0	29.2954
92	12	100	7,8	0	27.6165
93	12	100	7,9	0	28.5262
94	12	100	7,10	0	30.8433
95	12	100	7,11	0	21.9424
96	12	100	8,0	0	19.3124
97	12	100	8,1	0	25.3284
98	12	100	8,2	0	24.851
99	12	100	8,3	0	28.8
100	12	100	8,4	0	31.6378
101	12	100	8,5	0	34.2735
102	12	100	8,6	0	33.5547
103	12	100	8,7	0	33.2391
104	12	100	8,8	0	30.9994
105	12	100	8,9	0	28.5441
106	12	100	8,10	0	26.1134
107	12	100	8,11	0	21.7771
108	12	100	9,0	0	21.1023
109	12	100	9,1	0	24.7967
110	12	100	9,2	0	25.0677
111	12	100	9,3	0	28.7873
112	12	100	9,4	0	31.8549
113	12	100	9,5	0	30.9306
114	12	100	9,6	0	33.1118
115	12	100	9,7	0	34.565
116	12	100	9,8	0	34.5903
117	12	100	9,9	0	29.3403
118	12	100	9,10	0	23.3672
119	12	100	9,11	0	18.9576
120	12	100	10,0	0	19.7375
121	12	100	10,1	0	23.7526
122	12	100	10,2	0	25.6424
123	12	100	10,3	0	26.9923
124	12	100	10,4	0	29.5754
125	12	100	10,5	0	27.7384
126	12	100	10,6	0	29.2803
127	12	100	10,7	0	34.8481
128	12	100	10,8	0	33.53
129	12	100	10,9	0	25.5295
130	12	100	10,10	0	22.6866
131	12	100	10,11	0	16.4947
132	12	100	11,0	0	13.8508
133	12	100	11,1	0	19.4258
134	12	100	11,2	0	19.0735
135	12	100	11,3	0	22.1838
136	12	100	11,4	0	20.3949
137	12	100	11,5	0	20.4627
138	12	100	11,6	0	22.2406
139	12	100	11,7	0	25.8675
140	12	100	11,8	0	24.6546
141	12	100	11,9	0	19.1541
142	12	100	11,10	0	13.6958
143	12	100	11,11	0	11.4056
