
 <<< ESTIMATION RESULT >>>
No.	size	test	loc_yx	problem	percentage
0	12	100	0,0	1	 5.5492
1	12	100	0,1	1	 6.771
2	12	100	0,2	1	 8.1706
3	12	100	0,3	1	 9.5172
4	12	100	0,4	1	10.6046
5	12	100	0,5	1	11.1973
6	12	100	0,6	1	11.015
7	12	100	0,7	1	10.1476
8	12	100	0,8	1	 8.9946
9	12	100	0,9	1	 7.6822
10	12	100	0,10	1	 6.3209
11	12	100	0,11	1	 5.137
12	12	100	1,0	1	 6.9867
13	12	100	1,1	1	 8.8458
14	12	100	1,2	1	11.0148
15	12	100	1,3	1	13.2273
16	12	100	1,4	1	15.2988
17	12	100	1,5	1	16.4257
18	12	100	1,6	1	16.1284
19	12	100	1,7	1	14.4789
20	12	100	1,8	1	12.3837
21	12	100	1,9	1	10.1441
22	12	100	1,10	1	 8.0729
23	12	100	1,11	1	 6.3152
24	12	100	2,0	1	 8.6752
25	12	100	2,1	1	11.3931
26	12	100	2,2	1	14.7701
27	12	100	2,3	1	18.6638
28	12	100	2,4	1	22.3799
29	12	100	2,5	1	24.8549
30	12	100	2,6	1	24.163
31	12	100	2,7	1	20.6123
32	12	100	2,8	1	16.9191
33	12	100	2,9	1	13.1917
34	12	100	2,10	1	10.0947
35	12	100	2,11	1	 7.6055
36	12	100	3,0	1	10.4706
37	12	100	3,1	1	14.3397
38	12	100	3,2	1	19.4432
39	12	100	3,3	1	25.8947
40	12	100	3,4	1	32.805
41	12	100	3,5	1	37.4443
42	12	100	3,6	1	34.9121
43	12	100	3,7	1	28.7691
44	12	100	3,8	1	22.5033
45	12	100	3,9	1	16.8083
46	12	100	3,10	1	12.3398
47	12	100	3,11	1	 8.9079
48	12	100	4,0	1	11.8527
49	12	100	4,1	1	17.0275
50	12	100	4,2	1	24.5758
51	12	100	4,3	1	34.6418
52	12	100	4,4	1	45.6249
53	12	100	4,5	1	53.3812
54	12	100	4,6	1	48.8687
55	12	100	4,7	1	38.7413
56	12	100	4,8	1	28.4866
57	12	100	4,9	1	20.3184
58	12	100	4,10	1	14.0725
59	12	100	4,11	1	 9.8299
60	12	100	5,0	1	12.6866
61	12	100	5,1	1	18.4678
62	12	100	5,2	1	27.391
63	12	100	5,3	1	40.8861
64	12	100	5,4	1	56.9381
65	12	100	5,5	1	66.4852
66	12	100	5,6	1	62.154
67	12	100	5,7	1	47.2554
68	12	100	5,8	1	32.9472
69	12	100	5,9	1	22.4842
70	12	100	5,10	1	15.0044
71	12	100	5,11	1	10.3537
72	12	100	6,0	1	12.4566
73	12	100	6,1	1	18.3815
74	12	100	6,2	1	27.5175
75	12	100	6,3	1	39.9227
76	12	100	6,4	1	54.2872
77	12	100	6,5	1	64.6835
78	12	100	6,6	1	63.3711
79	12	100	6,7	1	49.3981
80	12	100	6,8	1	34.9006
81	12	100	6,9	1	23.2123
82	12	100	6,10	1	15.3355
83	12	100	6,11	1	10.4842
84	12	100	7,0	1	11.5422
85	12	100	7,1	1	16.7413
86	12	100	7,2	1	24.0922
87	12	100	7,3	1	33.2171
88	12	100	7,4	1	42.4662
89	12	100	7,5	1	49.6808
90	12	100	7,6	1	48.9412
91	12	100	7,7	1	40.7462
92	12	100	7,8	1	29.7566
93	12	100	7,9	1	21.1225
94	12	100	7,10	1	14.5507
95	12	100	7,11	1	10.0835
96	12	100	8,0	1	10.2641
97	12	100	8,1	1	14.3036
98	12	100	8,2	1	19.3047
99	12	100	8,3	1	24.4498
100	12	100	8,4	1	29.255
101	12	100	8,5	1	33.0288
102	12	100	8,6	1	33.2889
103	12	100	8,7	1	28.7262
104	12	100	8,8	1	22.6701
105	12	100	8,9	1	16.926
106	12	100	8,10	1	12.5491
107	12	100	8,11	1	 9.1191
108	12	100	9,0	1	 8.7407
109	12	100	9,1	1	11.4989
110	12	100	9,2	1	14.3811
111	12	100	9,3	1	17.1693
112	12	100	9,4	1	19.6578
113	12	100	9,5	1	21.8566
114	12	100	9,6	1	21.7432
115	12	100	9,7	1	19.6145
116	12	100	9,8	1	16.4351
117	12	100	9,9	1	13.0419
118	12	100	9,10	1	10.0098
119	12	100	9,11	1	 7.6457
120	12	100	10,0	1	 7.0977
121	12	100	10,1	1	 8.7873
122	12	100	10,2	1	10.4644
123	12	100	10,3	1	12.0739
124	12	100	10,4	1	13.5879
125	12	100	10,5	1	14.5987
126	12	100	10,6	1	14.4918
127	12	100	10,7	1	13.4584
128	12	100	10,8	1	11.6938
129	12	100	10,9	1	 9.8062
130	12	100	10,10	1	 7.8849
131	12	100	10,11	1	 6.2148
132	12	100	11,0	1	 5.5746
133	12	100	11,1	1	 6.6299
134	12	100	11,2	1	 7.6618
135	12	100	11,3	1	 8.6534
136	12	100	11,4	1	 9.4838
137	12	100	11,5	1	10.0039
138	12	100	11,6	1	 9.9665
139	12	100	11,7	1	 9.448
140	12	100	11,8	1	 8.4048
141	12	100	11,9	1	 7.2737
142	12	100	11,10	1	 6.0975
143	12	100	11,11	1	 4.987
